Customer_Index,Churn_Probability,Risk_Level,MonthlyCharges,Customer_Value_Score,Retention_Priority,Top_Churn_Drivers,Top_Retention_Drivers,Recommended_Action
4681,0.85915774,Critical Risk,83.85,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__Partner_Yes, categorical__StreamingTV_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
5211,0.8584761,Critical Risk,84.9,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__DeviceProtection_Yes, categorical__StreamingTV_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
2582,0.85520476,Critical Risk,105.3,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, numerical__MonthlyCharges","categorical__gender_Male, categorical__Partner_Yes, categorical__OnlineBackup_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, numerical__MonthlyCharges."
3402,0.85428816,Critical Risk,88.95,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__Partner_Yes, categorical__OnlineBackup_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
6886,0.8520207,Critical Risk,101.35,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__PaperlessBilling_Yes, categorical__gender_Male, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
4931,0.8418921,Critical Risk,103.45,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","categorical__TechSupport_No, categorical__Partner_No, categorical__gender_Female","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
5931,0.84140295,Critical Risk,98.0,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","categorical__MultipleLines_No, categorical__OnlineBackup_No, categorical__Partner_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
3061,0.83963853,Critical Risk,106.4,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","numerical__tenure, categorical__Partner_Yes, categorical__OnlineBackup_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
64,0.8375323,Critical Risk,94.4,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__PaperlessBilling_Yes, categorical__gender_Male, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
5177,0.83720946,Critical Risk,84.1,High Value,Critical,"categorical__Contract_Month-to-month, numerical__TotalCharges, categorical__InternetService_Fiber optic","numerical__tenure, categorical__DeviceProtection_Yes, categorical__StreamingTV_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__TotalCharges, categorical__InternetService_Fiber optic."
383,0.83618337,Critical Risk,90.85,High Value,Critical,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__PaymentMethod_Credit card (automatic), categorical__PaymentMethod_Electronic check, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
6868,0.832721,Critical Risk,91.1,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__MultipleLines_No, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
4000,0.8298994,Critical Risk,99.75,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female","numerical__tenure, categorical__gender_Male, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__gender_Female."
4240,0.8293164,Critical Risk,94.0,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No","categorical__Partner_Yes, categorical__StreamingMovies_Yes, categorical__OnlineBackup_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__OnlineSecurity_No."
4077,0.82573646,Critical Risk,95.8,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female","categorical__gender_Male, categorical__Partner_No, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__gender_Female."
4639,0.82021046,Critical Risk,93.6,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check","numerical__tenure, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check."
3469,0.81906587,Critical Risk,91.5,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
2163,0.8184511,Critical Risk,98.5,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","numerical__tenure, categorical__Partner_No, categorical__DeviceProtection_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
5549,0.81702954,Critical Risk,97.9,High Value,Critical,"numerical__MonthlyCharges, numerical__tenure, categorical__Contract_Month-to-month","categorical__TechSupport_No, categorical__gender_Male, categorical__Partner_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: numerical__MonthlyCharges, numerical__tenure, categorical__Contract_Month-to-month."
3026,0.8169863,Critical Risk,84.95,High Value,Critical,"categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic","categorical__gender_Male, categorical__DeviceProtection_Yes, categorical__Partner_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__gender_Female, categorical__InternetService_Fiber optic."
2493,0.8164412,Critical Risk,90.75,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female","categorical__gender_Male, categorical__DeviceProtection_Yes, categorical__Partner_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__gender_Female."
3745,0.8140221,Critical Risk,94.25,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic","categorical__MultipleLines_No, categorical__Partner_Yes, categorical__OnlineBackup_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic."
5741,0.8079913,Critical Risk,99.95,High Value,Critical,"categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic","numerical__tenure, categorical__Partner_Yes, categorical__OnlineBackup_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__MonthlyCharges, categorical__InternetService_Fiber optic."
6626,0.8045105,Critical Risk,95.75,High Value,Critical,"categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic","categorical__MultipleLines_No, categorical__Partner_No, categorical__DeviceProtection_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, numerical__tenure, categorical__InternetService_Fiber optic."
954,0.8036932,Critical Risk,95.1,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check","numerical__tenure, categorical__Partner_Yes, categorical__DeviceProtection_Yes","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__PaymentMethod_Electronic check."
3807,0.8000916,Critical Risk,104.65,High Value,Critical,"categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__MultipleLines_No","numerical__tenure, categorical__OnlineBackup_No, categorical__Partner_No","Immediate personalized retention intervention: offer a targeted discount, contract upgrade, or dedicated support. Prioritize addressing the key churn drivers identified: categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic, categorical__MultipleLines_No."
5573,0.9377711,Critical Risk,69.85,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges."
5782,0.9377711,Critical Risk,69.65,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges","categorical__gender_Male, categorical__MultipleLines_No, categorical__Partner_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges."
4759,0.93133706,Critical Risk,78.95,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic","categorical__Partner_Yes, categorical__MultipleLines_No, categorical__DeviceProtection_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, categorical__InternetService_Fiber optic."
3426,0.92875594,Critical Risk,69.8,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges","categorical__Partner_Yes, categorical__MultipleLines_No, categorical__DeviceProtection_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges."
809,0.92875594,Critical Risk,69.55,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges","categorical__Partner_Yes, categorical__MultipleLines_No, categorical__DeviceProtection_Yes","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges."
4081,0.92647946,Critical Risk,69.6,Medium Value,High,"numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges","categorical__gender_Male, categorical__Partner_Yes, categorical__MultipleLines_No","Launch a low-cost automated retention campaign or send a personalized retention offer. Prioritize addressing the key churn drivers identified: numerical__tenure, categorical__Contract_Month-to-month, numerical__TotalCharges."
